     Angle,       PSD
20,1391
20.0197,1432
20.0393,1434
20.059,1383
20.0787,1489
20.0984,1398
20.118,1431
20.1377,1382
20.1574,1406
20.1771,1433
20.1967,1381
20.2164,1393
20.2361,1355
20.2558,1400
20.2754,1439
20.2951,1367
20.3148,1362
20.3345,1314
20.3541,1348
20.3738,1328
20.3935,1365
20.4131,1373
20.4328,1295
20.4525,1408
20.4722,1304
20.4918,1367
20.5115,1386
20.5312,1308
20.5509,1320
20.5705,1336
20.5902,1259
20.6099,1363
20.6296,1355
20.6492,1311
20.6689,1277
20.6886,1334
20.7082,1331
20.7279,1275
20.7476,1310
20.7673,1354
20.7869,1338
20.8066,1336
20.8263,1309
20.846,1305
20.8656,1238
20.8853,1286
20.905,1292
20.9247,1268
20.9443,1257
20.964,1295
20.9837,1275
21.0034,1206
21.023,1224
21.0427,1275
21.0624,1219
21.082,1253
21.1017,1307
21.1214,1277
21.1411,1260
21.1607,1240
21.1804,1270
21.2001,1244
21.2198,1304
21.2394,1238
21.2591,1233
21.2788,1246
21.2985,1213
21.3181,1263
21.3378,1208
21.3575,1213
21.3772,1170
21.3968,1164
21.4165,1191
21.4362,1194
21.4558,1162
21.4755,1259
21.4952,1143
21.5149,1245
21.5345,1205
21.5542,1180
21.5739,1201
21.5936,1200
21.6132,1219
21.6329,1174
21.6526,1206
21.6723,1205
21.6919,1169
21.7116,1218
21.7313,1168
21.7509,1194
21.7706,1133
21.7903,1160
21.81,1138
21.8296,1134
21.8493,1164
21.869,1177
21.8887,1224
21.9083,1220
21.928,1111
21.9477,1235
21.9674,1081
21.987,1113
22.0067,1143
22.0264,1211
22.0461,1159
22.0657,1130
22.0854,1167
22.1051,1162
22.1247,1139
22.1444,1122
22.1641,1170
22.1838,1076
22.2034,1137
22.2231,1136
22.2428,1088
22.2625,1161
22.2821,1039
22.3018,1061
22.3215,1089
22.3412,1070
22.3608,1145
22.3805,1135
22.4002,1133
22.4199,1058
22.4395,1076
22.4592,1110
22.4789,1136
22.4985,1101
22.5182,1068
22.5379,1148
22.5576,1114
22.5772,1081
22.5969,1082
22.6166,1077
22.6363,1031
22.6559,1108
22.6756,1025
22.6953,1070
22.715,1109
22.7346,1046
22.7543,1139
22.774,1082
22.7936,1110
22.8133,1068
22.833,1049
22.8527,1056
22.8723,1067
22.892,1025
22.9117,1122
22.9314,1136
22.951,1090
22.9707,1033
22.9904,1049
23.0101,1035
23.0297,1078
23.0494,1103
23.0691,965
23.0888,1041
23.1084,1033
23.1281,1072
23.1478,982
23.1674,1060
23.1871,1074
23.2068,1078
23.2265,1071
23.2461,1063
23.2658,1052
23.2855,1003
23.3052,1058
23.3248,1046
23.3445,1033
23.3642,1066
23.3839,1037
23.4035,1070
23.4232,1018
23.4429,1040
23.4626,986
23.4822,995
23.5019,1053
23.5216,976
23.5412,1038
23.5609,1010
23.5806,997
23.6003,991
23.6199,1004
23.6396,1040
23.6593,1077
23.679,1016
23.6986,1050
23.7183,1031
23.738,991
23.7577,997
23.7773,1050
23.797,991
23.8167,998
23.8363,1014
23.856,1019
23.8757,1035
23.8954,1035
23.915,1019
23.9347,1027
23.9544,958
23.9741,1004
23.9937,1035
24.0134,1017
24.0331,1005
24.0528,991
24.0724,986
24.0921,1005
24.1118,983
24.1315,1002
24.1511,1006
24.1708,985
24.1905,988
24.2101,997
24.2298,1030
24.2495,993
24.2692,987
24.2888,946
24.3085,1035
24.3282,1043
24.3479,987
24.3675,1007
24.3872,1014
24.4069,1011
24.4266,998
24.4462,1058
24.4659,996
24.4856,1013
24.5053,1035
24.5249,961
24.5446,1018
24.5643,1037
24.5839,995
24.6036,944
24.6233,989
24.643,956
24.6626,987
24.6823,959
24.702,915
24.7217,912
24.7413,1001
24.761,950
24.7807,1018
24.8004,975
24.82,939
24.8397,1031
24.8594,967
24.8791,929
24.8987,1012
24.9184,1023
24.9381,945
24.9577,993
24.9774,986
24.9971,956
25.0168,971
25.0364,986
25.0561,997
25.0758,972
25.0955,972
25.1151,945
25.1348,961
25.1545,982
25.1742,972
25.1938,999
25.2135,959
25.2332,993
25.2528,956
25.2725,945
25.2922,972
25.3119,1016
25.3315,991
25.3512,994
25.3709,1000
25.3906,969
25.4102,940
25.4299,920
25.4496,1034
25.4693,963
25.4889,980
25.5086,978
25.5283,973
25.548,1015
25.5676,1002
25.5873,927
25.607,947
25.6266,971
25.6463,997
25.666,1004
25.6857,937
25.7053,985
25.725,949
25.7447,956
25.7644,969
25.784,969
25.8037,925
25.8234,971
25.8431,907
25.8627,919
25.8824,911
25.9021,889
25.9218,929
25.9414,1012
25.9611,923
25.9808,969
26.0004,921
26.0201,1019
26.0398,991
26.0595,946
26.0791,910
26.0988,979
26.1185,927
26.1382,931
26.1578,884
26.1775,967
26.1972,947
26.2169,918
26.2365,943
26.2562,914
26.2759,999
26.2955,983
26.3152,960
26.3349,943
26.3546,935
26.3742,945
26.3939,922
26.4136,940
26.4333,902
26.4529,928
26.4726,931
26.4923,927
26.512,950
26.5316,935
26.5513,969
26.571,936
26.5907,947
26.6103,979
26.63,945
26.6497,926
26.6693,951
26.689,973
26.7087,937
26.7284,962
26.748,939
26.7677,959
26.7874,977
26.8071,951
26.8267,927
26.8464,915
26.8661,902
26.8858,962
26.9054,1004
26.9251,944
26.9448,919
26.9645,953
26.9841,935
27.0038,946
27.0235,980
27.0431,937
27.0628,921
27.0825,911
27.1022,998
27.1218,945
27.1415,892
27.1612,917
27.1809,968
27.2005,952
27.2202,916
27.2399,972
27.2596,961
27.2792,952
27.2989,914
27.3186,996
27.3382,992
27.3579,963
27.3776,868
27.3973,958
27.4169,915
27.4366,969
27.4563,950
27.476,1003
27.4956,968
27.5153,909
27.535,983
27.5547,965
27.5743,974
27.594,984
27.6137,906
27.6334,930
27.653,991
27.6727,1002
27.6924,891
27.712,991
27.7317,977
27.7514,962
27.7711,953
27.7907,919
27.8104,976
27.8301,931
27.8498,974
27.8694,937
27.8891,880
27.9088,909
27.9285,1008
27.9481,934
27.9678,933
27.9875,1000
28.0072,946
28.0268,964
28.0465,923
28.0662,947
28.0858,978
28.1055,939
28.1252,935
28.1449,934
28.1645,899
28.1842,927
28.2039,919
28.2236,890
28.2432,964
28.2629,924
28.2826,983
28.3023,949
28.3219,921
28.3416,967
28.3613,899
28.3809,939
28.4006,964
28.4203,978
28.44,966
28.4596,958
28.4793,952
28.499,1001
28.5187,987
28.5383,1019
28.558,938
28.5777,952
28.5974,977
28.617,991
28.6367,987
28.6564,972
28.6761,953
28.6957,1017
28.7154,949
28.7351,956
28.7547,923
28.7744,995
28.7941,990
28.8138,937
28.8334,951
28.8531,912
28.8728,901
28.8925,885
28.9121,995
28.9318,1035
28.9515,953
28.9712,999
28.9908,993
29.0105,1015
29.0302,990
29.0499,899
29.0695,981
29.0892,937
29.1089,950
29.1285,989
29.1482,920
29.1679,923
29.1876,964
29.2072,919
29.2269,953
29.2466,995
29.2663,984
29.2859,1007
29.3056,956
29.3253,987
29.345,957
29.3646,964
29.3843,1032
29.404,994
29.4236,988
29.4433,959
29.463,945
29.4827,937
29.5023,922
29.522,979
29.5417,1001
29.5614,932
29.581,981
29.6007,967
29.6204,984
29.6401,948
29.6597,1024
29.6794,1020
29.6991,995
29.7188,941
29.7384,1027
29.7581,1004
29.7778,991
29.7974,1000
29.8171,965
29.8368,988
29.8565,1015
29.8761,977
29.8958,956
29.9155,1001
29.9352,1028
29.9548,977
29.9745,957
29.9942,1014
30.0139,981
30.0335,966
30.0532,1018
30.0729,967
30.0926,1020
30.1122,1013
30.1319,995
30.1516,1046
30.1712,935
30.1909,1001
30.2106,985
30.2303,1076
30.2499,1018
30.2696,986
30.2893,1025
30.309,994
30.3286,975
30.3483,970
30.368,987
30.3877,999
30.4073,974
30.427,984
30.4467,1009
30.4663,958
30.486,995
30.5057,972
30.5254,1031
30.545,948
30.5647,1033
30.5844,989
30.6041,975
30.6237,985
30.6434,1010
30.6631,997
30.6828,976
30.7024,952
30.7221,970
30.7418,1027
30.7615,973
30.7811,991
30.8008,1047
30.8205,968
30.8401,986
30.8598,992
30.8795,1037
30.8992,1030
30.9188,956
30.9385,1033
30.9582,1037
30.9779,1037
30.9975,1016
31.0172,1034
31.0369,1060
31.0566,962
31.0762,1001
31.0959,1015
31.1156,1003
31.1353,1009
31.1549,1049
31.1746,937
31.1943,1022
31.2139,1016
31.2336,1060
31.2533,1014
31.273,969
31.2926,1065
31.3123,1009
31.332,962
31.3517,1026
31.3713,1008
31.391,980
31.4107,1000
31.4304,974
31.45,1017
31.4697,1028
31.4894,1083
31.509,1033
31.5287,1051
31.5484,990
31.5681,1012
31.5877,1018
31.6074,1000
31.6271,1033
31.6468,1009
31.6664,1026
31.6861,1006
31.7058,1000
31.7255,1037
31.7451,997
31.7648,996
31.7845,1063
31.8042,1025
31.8238,1001
31.8435,1059
31.8632,1031
31.8828,1033
31.9025,1030
31.9222,1044
31.9419,1016
31.9615,1000
31.9812,1073
32.0009,1065
32.0206,1072
32.0402,974
32.0599,973
32.0796,1024
32.0993,1041
32.1189,989
32.1386,990
32.1583,1041
32.178,997
32.1976,1082
32.2173,1087
32.237,1022
32.2566,1041
32.2763,1030
32.296,997
32.3157,1018
32.3353,997
32.355,1079
32.3747,1045
32.3944,1026
32.414,1117
32.4337,1032
32.4534,1107
32.4731,1008
32.4927,1026
32.5124,1021
32.5321,1068
32.5518,1021
32.5714,1062
32.5911,1064
32.6108,1040
32.6304,991
32.6501,1031
32.6698,1054
32.6895,1058
32.7091,1001
32.7288,1038
32.7485,1040
32.7682,1045
32.7878,1055
32.8075,1006
32.8272,1073
32.8469,1029
32.8665,1036
32.8862,1052
32.9059,1052
32.9255,1017
32.9452,1031
32.9649,1032
32.9846,1033
33.0042,1112
33.0239,1068
33.0436,1019
33.0633,1062
33.0829,1024
33.1026,1043
33.1223,1035
33.142,1090
33.1616,1019
33.1813,1026
33.201,1077
33.2207,1049
33.2403,1080
33.26,1043
33.2797,1105
33.2993,1107
33.319,1057
33.3387,1021
33.3584,1093
33.378,1067
33.3977,1042
33.4174,1083
33.4371,1076
33.4567,1068
33.4764,1123
33.4961,1073
33.5158,1081
33.5354,1076
33.5551,1095
33.5748,1052
33.5945,1120
33.6141,1029
33.6338,1075
33.6535,1119
33.6731,1045
33.6928,1071
33.7125,1096
33.7322,1130
33.7518,1086
33.7715,1075
33.7912,1138
33.8109,1118
33.8305,1133
33.8502,1074
33.8699,1102
33.8896,1077
33.9092,1101
33.9289,1103
33.9486,1091
33.9682,1058
33.9879,1110
34.0076,1105
34.0273,1081
34.0469,1184
34.0666,1091
34.0863,1208
34.106,1149
34.1256,1093
34.1453,1117
34.165,1127
34.1847,1103
34.2043,1090
34.224,1112
34.2437,1144
34.2634,1059
34.283,1064
34.3027,1136
34.3224,1130
34.342,1111
34.3617,1153
34.3814,1090
34.4011,1121
34.4207,1105
34.4404,1112
34.4601,1144
34.4798,1208
34.4994,1175
34.5191,1197
34.5388,1124
34.5585,1104
34.5781,1187
34.5978,1142
34.6175,1126
34.6372,1152
34.6568,1190
34.6765,1218
34.6962,1199
34.7158,1163
34.7355,1178
34.7552,1150
34.7749,1169
34.7945,1199
34.8142,1187
34.8339,1182
34.8536,1225
34.8732,1180
34.8929,1115
34.9126,1214
34.9323,1209
34.9519,1182
34.9716,1151
34.9913,1203
35.0109,1174
35.0306,1199
35.0503,1163
35.07,1228
35.0896,1288
35.1093,1224
35.129,1184
35.1487,1173
35.1683,1159
35.188,1184
35.2077,1258
35.2274,1268
35.247,1260
35.2667,1244
35.2864,1244
35.3061,1271
35.3257,1272
35.3454,1271
35.3651,1262
35.3847,1223
35.4044,1240
35.4241,1230
35.4438,1231
35.4634,1290
35.4831,1292
35.5028,1278
35.5225,1276
35.5421,1346
35.5618,1281
35.5815,1303
35.6012,1330
35.6208,1295
35.6405,1347
35.6602,1316
35.6799,1304
35.6995,1293
35.7192,1299
35.7389,1315
35.7585,1319
35.7782,1379
35.7979,1322
35.8176,1382
35.8372,1368
35.8569,1331
35.8766,1285
35.8963,1353
35.9159,1384
35.9356,1408
35.9553,1382
35.975,1439
35.9946,1406
36.0143,1407
36.034,1477
36.0536,1529
36.0733,1456
36.093,1465
36.1127,1538
36.1323,1437
36.152,1453
36.1717,1483
36.1914,1498
36.211,1509
36.2307,1518
36.2504,1592
36.2701,1622
36.2897,1633
36.3094,1643
36.3291,1645
36.3488,1682
36.3684,1757
36.3881,1742
36.4078,1830
36.4274,1836
36.4471,1851
36.4668,1987
36.4865,2137
36.5061,2252
36.5258,2459
36.5455,2768
36.5652,3056
36.5848,3486
36.6045,4064
36.6242,4658
36.6439,5494
36.6635,6261
36.6832,6807
36.7029,7071
36.7226,7144
36.7422,7189
36.7619,6900
36.7816,6588
36.8012,6079
36.8209,5578
36.8406,4927
36.8603,4418
36.8799,4043
36.8996,3612
36.9193,3286
36.939,3044
36.9586,2700
36.9783,2563
36.998,2468
37.0177,2342
37.0373,2171
37.057,2113
37.0767,2061
37.0963,1900
37.116,1848
37.1357,1788
37.1554,1793
37.175,1772
37.1947,1659
37.2144,1733
37.2341,1608
37.2537,1638
37.2734,1601
37.2931,1618
37.3128,1569
37.3324,1513
37.3521,1563
37.3718,1507
37.3915,1507
37.4111,1440
37.4308,1502
37.4505,1433
37.4701,1384
37.4898,1387
37.5095,1298
37.5292,1393
37.5488,1367
37.5685,1343
37.5882,1337
37.6079,1324
37.6275,1343
37.6472,1381
37.6669,1310
37.6866,1254
37.7062,1217
37.7259,1277
37.7456,1209
37.7653,1286
37.7849,1297
37.8046,1174
37.8243,1193
37.8439,1225
37.8636,1160
37.8833,1221
37.903,1144
37.9226,1159
37.9423,1188
37.962,1148
37.9817,1073
38.0013,1107
38.021,1117
38.0407,1119
38.0604,1119
38.08,1168
38.0997,1149
38.1194,1066
38.139,1100
38.1587,1133
38.1784,1069
38.1981,1067
38.2177,1072
38.2374,983
38.2571,1074
38.2768,1020
38.2964,1032
38.3161,1051
38.3358,999
38.3555,1049
38.3751,1071
38.3948,1031
38.4145,974
38.4342,1051
38.4538,985
38.4735,1027
38.4932,1014
38.5128,989
38.5325,994
38.5522,991
38.5719,977
38.5915,1005
38.6112,1014
38.6309,956
38.6506,923
38.6702,951
38.6899,956
38.7096,932
38.7293,973
38.7489,920
38.7686,918
38.7883,952
38.808,932
38.8276,892
38.8473,911
38.867,901
38.8866,886
38.9063,904
38.926,871
38.9457,947
38.9653,925
38.985,905
39.0047,928
39.0244,904
39.044,912
39.0637,902
39.0834,865
39.1031,931
39.1227,899
39.1424,850
39.1621,882
39.1817,840
39.2014,822
39.2211,820
39.2408,869
39.2604,843
39.2801,842
39.2998,866
39.3195,855
39.3391,837
39.3588,820
39.3785,843
39.3982,755
39.4178,853
39.4375,812
39.4572,778
39.4769,832
39.4965,787
39.5162,780
39.5359,831
39.5555,765
39.5752,792
39.5949,783
39.6146,843
39.6342,770
39.6539,804
39.6736,729
39.6933,766
39.7129,719
39.7326,759
39.7523,796
39.772,815
39.7916,785
39.8113,789
39.831,751
39.8507,806
39.8703,760
39.89,774
39.9097,737
39.9293,742
39.949,749
39.9687,756
39.9884,757
40.008,759
40.0277,689
40.0474,743
40.0671,697
40.0867,739
40.1064,707
40.1261,719
40.1458,713
40.1654,730
40.1851,753
40.2048,757
40.2245,728
40.2441,713
40.2638,691
40.2835,721
40.3031,733
40.3228,684
40.3425,703
40.3622,692
40.3818,698
40.4015,708
40.4212,716
40.4409,716
40.4605,716
40.4802,692
40.4999,675
40.5196,703
40.5392,681
40.5589,676
40.5786,632
40.5982,661
40.6179,699
40.6376,670
40.6573,677
40.6769,718
40.6966,654
40.7163,674
40.736,672
40.7556,654
40.7753,674
40.795,639
40.8147,638
40.8343,718
40.854,677
40.8737,630
40.8934,647
40.913,665
40.9327,679
40.9524,687
40.972,661
40.9917,646
41.0114,633
41.0311,688
41.0507,640
41.0704,650
41.0901,661
41.1098,609
41.1294,628
41.1491,632
41.1688,630
41.1885,635
41.2081,642
41.2278,630
41.2475,637
41.2672,611
41.2868,635
41.3065,665
41.3262,628
41.3458,615
41.3655,600
41.3852,659
41.4049,628
41.4245,664
41.4442,673
41.4639,645
41.4836,608
41.5032,653
41.5229,604
41.5426,616
41.5623,604
41.5819,639
41.6016,595
41.6213,618
41.6409,589
41.6606,585
41.6803,573
41.7,563
41.7196,607
41.7393,598
41.759,579
41.7787,610
41.7983,568
41.818,590
41.8377,595
41.8574,584
41.877,633
41.8967,570
41.9164,632
41.9361,625
41.9557,596
41.9754,591
41.9951,537
42.0147,574
42.0344,574
42.0541,594
42.0738,565
42.0934,633
42.1131,604
42.1328,619
42.1525,614
42.1721,577
42.1918,538
42.2115,587
42.2312,572
42.2508,553
42.2705,603
42.2902,583
42.3099,606
42.3295,564
42.3492,552
42.3689,582
42.3885,598
42.4082,593
42.4279,503
42.4476,535
42.4672,596
42.4869,595
42.5066,585
42.5263,588
42.5459,545
42.5656,563
42.5853,591
42.605,529
42.6246,524
42.6443,557
42.664,541
42.6836,580
42.7033,492
42.723,534
42.7427,546
42.7623,519
42.782,567
42.8017,513
42.8214,536
42.841,542
42.8607,540
42.8804,529
42.9001,560
42.9197,551
42.9394,539
42.9591,542
42.9788,595
42.9984,577
43.0181,546
43.0378,527
43.0574,549
43.0771,531
43.0968,521
43.1165,523
43.1361,562
43.1558,509
43.1755,567
43.1952,574
43.2148,528
43.2345,566
43.2542,525
43.2739,549
43.2935,542
43.3132,500
43.3329,499
43.3526,524
43.3722,533
43.3919,508
43.4116,511
43.4312,540
43.4509,529
43.4706,502
43.4903,540
43.5099,519
43.5296,515
43.5493,525
43.569,543
43.5886,518
43.6083,497
43.628,506
43.6477,553
43.6673,528
43.687,510
43.7067,526
43.7263,552
43.746,486
43.7657,502
43.7854,526
43.805,490
43.8247,555
43.8444,528
43.8641,471
43.8837,477
43.9034,495
43.9231,504
43.9428,496
43.9624,532
43.9821,537
44.0018,502
44.0215,534
44.0411,532
44.0608,548
44.0805,472
44.1001,524
44.1198,486
44.1395,526
44.1592,488
44.1788,506
44.1985,524
44.2182,509
44.2379,520
44.2575,508
44.2772,470
44.2969,508
44.3166,507
44.3362,525
44.3559,542
44.3756,484
44.3953,513
44.4149,487
44.4346,501
44.4543,534
44.4739,522
44.4936,487
44.5133,490
44.533,482
44.5526,512
44.5723,487
44.592,530
44.6117,489
44.6313,522
44.651,485
44.6707,486
44.6904,501
44.71,497
44.7297,499
44.7494,506
44.769,453
44.7887,508
44.8084,564
44.8281,489
44.8477,504
44.8674,530
44.8871,479
44.9068,459
44.9264,459
44.9461,508
44.9658,490
44.9855,453
45.0051,483
45.0248,499
45.0445,464
45.0642,522
45.0838,478
45.1035,479
45.1232,495
45.1428,487
45.1625,429
45.1822,470
45.2019,482
45.2215,453
45.2412,510
45.2609,492
45.2806,496
45.3002,472
45.3199,545
45.3396,499
45.3593,483
45.3789,451
45.3986,506
45.4183,499
45.438,505
45.4576,455
45.4773,455
45.497,476
45.5166,486
45.5363,528
45.556,480
45.5757,493
45.5953,468
45.615,492
45.6347,465
45.6544,442
45.674,497
45.6937,505
45.7134,474
45.7331,501
45.7527,480
45.7724,523
45.7921,480
45.8117,466
45.8314,502
45.8511,481
45.8708,486
45.8904,484
45.9101,441
45.9298,465
45.9495,494
45.9691,495
45.9888,501
46.0085,505
46.0282,467
46.0478,457
46.0675,468
46.0872,457
46.1069,479
46.1265,471
46.1462,496
46.1659,511
46.1855,494
46.2052,451
46.2249,514
46.2446,514
46.2642,417
46.2839,504
46.3036,420
46.3233,511
46.3429,487
46.3626,445
46.3823,490
46.402,475
46.4216,436
46.4413,490
46.461,443
46.4807,473
46.5003,483
46.52,454
46.5397,438
46.5593,465
46.579,450
46.5987,477
46.6184,458
46.638,474
46.6577,479
46.6774,460
46.6971,513
46.7167,471
46.7364,464
46.7561,479
46.7758,475
46.7954,489
46.8151,458
46.8348,497
46.8544,471
46.8741,432
46.8938,448
46.9135,445
46.9331,487
46.9528,466
46.9725,464
46.9922,500
47.0118,495
47.0315,493
47.0512,459
47.0709,500
47.0905,466
47.1102,483
47.1299,464
47.1496,473
47.1692,487
47.1889,439
47.2086,471
47.2282,482
47.2479,432
47.2676,478
47.2873,454
47.3069,459
47.3266,476
47.3463,445
47.366,473
47.3856,458
47.4053,444
47.425,503
47.4447,420
47.4643,463
47.484,447
47.5037,476
47.5234,474
47.543,493
47.5627,487
47.5824,463
47.602,479
47.6217,484
47.6414,474
47.6611,495
47.6807,425
47.7004,439
47.7201,480
47.7398,448
47.7594,467
47.7791,493
47.7988,487
47.8185,506
47.8381,477
47.8578,488
47.8775,487
47.8972,519
47.9168,520
47.9365,475
47.9562,519
47.9758,534
47.9955,527
48.0152,544
48.0349,534
48.0545,560
48.0742,549
48.0939,570
48.1136,600
48.1332,582
48.1529,550
48.1726,532
48.1923,571
48.2119,545
48.2316,501
48.2513,562
48.2709,530
48.2906,526
48.3103,524
48.33,522
48.3496,490
48.3693,527
48.389,510
48.4087,481
48.4283,504
48.448,480
48.4677,467
48.4874,478
48.507,493
48.5267,461
48.5464,465
48.5661,485
48.5857,487
48.6054,496
48.6251,456
48.6447,496
48.6644,473
48.6841,506
48.7038,441
48.7234,496
48.7431,473
48.7628,462
48.7825,462
48.8021,467
48.8218,435
48.8415,499
48.8612,427
48.8808,468
48.9005,479
48.9202,433
48.9399,470
48.9595,427
48.9792,433
48.9989,435
49.0185,457
49.0382,455
49.0579,438
49.0776,437
49.0972,442
49.1169,442
49.1366,438
49.1563,459
49.1759,472
49.1956,444
49.2153,422
49.235,448
49.2546,459
49.2743,477
49.294,461
49.3136,480
49.3333,480
49.353,467
49.3727,404
49.3923,467
49.412,444
49.4317,429
49.4514,464
49.471,448
49.4907,453
49.5104,441
49.5301,494
49.5497,459
49.5694,430
49.5891,434
49.6088,474
49.6284,423
49.6481,465
49.6678,389
49.6874,421
49.7071,464
49.7268,454
49.7465,433
49.7661,448
49.7858,431
49.8055,426
49.8252,469
49.8448,448
49.8645,415
49.8842,427
49.9039,445
49.9235,414
49.9432,457
49.9629,423
49.9826,481
50.0022,470
50.0219,415
50.0416,433
50.0612,461
50.0809,407
50.1006,420
50.1203,460
50.1399,462
50.1596,421
50.1793,444
50.199,436
50.2186,417
50.2383,454
50.258,455
50.2777,426
50.2973,418
50.317,443
50.3367,423
50.3563,467
50.376,413
50.3957,477
50.4154,449
50.435,436
50.4547,461
50.4744,419
50.4941,455
50.5137,446
50.5334,442
50.5531,443
50.5728,405
50.5924,456
50.6121,450
50.6318,460
50.6515,470
50.6711,466
50.6908,448
50.7105,426
50.7301,448
50.7498,470
50.7695,457
50.7892,460
50.8088,440
50.8285,465
50.8482,470
50.8679,439
50.8875,484
50.9072,470
50.9269,429
50.9466,425
50.9662,448
50.9859,454
51.0056,466
51.0253,431
51.0449,470
51.0646,418
51.0843,461
51.1039,463
51.1236,466
51.1433,413
51.163,432
51.1826,474
51.2023,436
51.222,478
51.2417,460
51.2613,453
51.281,449
51.3007,463
51.3204,439
51.34,472
51.3597,425
51.3794,445
51.399,435
51.4187,433
51.4384,462
51.4581,442
51.4777,461
51.4974,432
51.5171,437
51.5368,421
51.5564,428
51.5761,445
51.5958,442
51.6155,435
51.6351,425
51.6548,482
51.6745,428
51.6942,432
51.7138,387
51.7335,441
51.7532,450
51.7728,421
51.7925,488
51.8122,431
51.8319,470
51.8515,412
51.8712,404
51.8909,452
51.9106,453
51.9302,418
51.9499,445
51.9696,457
51.9893,443
52.0089,474
52.0286,448
52.0483,434
52.068,421
52.0876,417
52.1073,407
52.127,441
52.1466,437
52.1663,441
52.186,423
52.2057,432
52.2253,418
52.245,431
52.2647,466
52.2844,456
52.304,449
52.3237,433
52.3434,438
52.3631,456
52.3827,424
52.4024,462
52.4221,449
52.4417,450
52.4614,398
52.4811,452
52.5008,440
52.5204,410
52.5401,428
52.5598,440
52.5795,468
52.5991,451
52.6188,424
52.6385,431
52.6582,445
52.6778,456
52.6975,448
52.7172,448
52.7369,443
52.7565,454
52.7762,471
52.7959,420
52.8155,465
52.8352,432
52.8549,465
52.8746,462
52.8942,449
52.9139,481
52.9336,484
52.9533,496
52.9729,494
52.9926,470
53.0123,569
53.032,519
53.0516,549
53.0713,539
53.091,527
53.1107,480
53.1303,558
53.15,512
53.1697,522
53.1893,500
53.209,483
53.2287,484
53.2484,495
53.268,440
53.2877,430
53.3074,475
53.3271,477
53.3467,448
53.3664,430
53.3861,474
53.4058,463
53.4254,446
53.4451,427
53.4648,423
53.4844,422
53.5041,397
53.5238,426
53.5435,440
53.5631,403
53.5828,393
53.6025,397
53.6222,413
53.6418,448
53.6615,429
53.6812,435
53.7009,434
53.7205,435
53.7402,417
53.7599,445
53.7796,394
53.7992,402
53.8189,402
53.8386,401
53.8582,421
53.8779,404
53.8976,411
53.9173,415
53.9369,404
53.9566,402
53.9763,413
53.996,457
54.0156,421
54.0353,479
54.055,413
54.0747,377
54.0943,427
54.114,436
54.1337,439
54.1534,413
54.173,433
54.1927,411
54.2124,429
54.232,450
54.2517,445
54.2714,418
54.2911,419
54.3107,432
54.3304,412
54.3501,399
54.3698,443
54.3894,418
54.4091,421
54.4288,399
54.4485,435
54.4681,433
54.4878,407
54.5075,398
